lemma	codlem	gen	codmorf	n_id_Keep	refK	n_id_Throw	refT	addList
abscedo	V3		VmH	a0147	absced-v3i-294	D01B7	absced-v3r-139428	abscess-n6p1-139430
absisto	V3		VmH	a0169	absist-v3i-343	D01F0	absist-v3r-139445	absistit-v7s-139446
absum	VA		VmN	a0200	abes-v6sf-416	D00C2	abes-v6sf-169814,abes-v6sf-174885	NULL
affor	V1		VmF	a1112	aff-v1da-1989	D0867	aff-v1d-139785	NULL
affor	V1		VmF	a1112	aff-v1da-1989	D086A	aff-v1d-139786	NULL
antecurro	V3		VmH	a2124	antecurr-v3r-3554	D113C	antecurr-v3r-139886	antecucurr-v7s-139887
ardeo	V2		VmG	a2767	ard-v2r-4544	D160G	ard-v2r-139985	ars-n41-139986
ardeo	V2		VmG	a2767	ard-v2r-4544	D160H	ard-v2r-139990	ars-n41-139991
ardeo	V2		VmG	a2767	ard-v2r-4544	D1610	ard-v2r-139995	ars-n41-139996
benedico	V3		VmH	b9256	benedic-v3r-7542	D21G2	benedic-v3r-140257	NULL
benefacio	V5		VmM	b9257	benefac-v5r-7548	D21H1	benefac-v5r-140262	NULL
beneplaceo	V2		VmG	b9270	beneplac-v2i-7571	D220A	beneplac-v2r-140269	NULL
cado	V3		VmH	c0061	cad-v3i-7668	D2CF0	cad-v3r-140325	cas-n41-140326,cas-n6p1-140327
cauefacio	V5		VmM	c0948	cauefac-v5r-9022	D359B	cauefac-v5r-140407	NULL
charaxo	V1		VmF	c1390	carax-v1r-9638	D38D3	charax-v1r-140439	NULL
compesco	V3		VmH	c2832	compesc-v3r-12077	D3HEF	compesc-v3r-140604	cu-v7s-140605
concrepo	V1		VmF	c3081	concrep-v1r-12506	D40F3	concrep-v1r-140664	concrepit-n41-140665,concrepit-n6p1-140666,concrepitur-n6p2-140667
consipio	V5		VmM	c3541	consip-v5i-13344	D431D	consip-v5r-140770	consipu-v7s-140771
consisto	V3		VmH	c3543	consist-v3r-13346	D431F	consist-v3r-140772	consistit-v7s-140773
contradico	V3		VmH	c3787	contradic-v3r-13783	D4421	contradic-v3r-140817	NULL
conuenio	V4		VmL	c3872	conuen-v4r-13933	D44A4	conuen-v4r-140855	NULL
conuenio	V4		VmL	c3872	conuen-v4r-13933	D44A5	conuen-v4r-140860	NULL
crinio	V4		VmL	c4359	crin-v4r-14692	D4930	crin-v4r-140971	crinit-n41-140972,crinit-n6p1-140973,crinitur-n6p2-140974
desisto	V3		VmH	d0981	desist-v3r-17489	D4HFE	desist-v3r-141413	desistit-n41-141414,desistit-n6p1-141415,desistitur-n6p2-141416,desistit-v7s-141417
deuoluo	V3		VmH	d1176	deuolu-v3r-17904	D50CE	deuolu-v3r-141483	duolut-n41-141484,duolut-n6p1-141485,duolutur-n6p2-141486,duolu-v7s-141487
disco	V3		VmH	d1724	disc-v3r-18698	D52DE	disc-v3r-141574	discit-n6p1-141576
eiulito	V1		VmF	e9236	eiulit-v1i-23440	D58C4	eiulit-v1r-173410	NULL
emaneo	V2		VmG	e0400	eman-v2i-20753	D595H	eman-v2r-141783	emans-n6p1-141785
emolo	V3		VmH	e0486	emol-v3r-20882	D59DH	emol-v3r-158848	emolut-n6p1-158847
excandefacio	V5		VmM	e1278	excandefac-v5r-22057	D5F54	excandefac-v5r-141901	NULL
eximo	V3		VmH	e1497	exim-v3r-22459	D5GA5	exim-v3r-142003	empt-n41-142004,empt-n6p1-142005,emptur-n6p2-142006,em-v7s-142007
harpago	V1		VmF	h0127	arpag-v1r-26737	D76FC	harpag-v1r-142397	NULL
helluor	V1		VmF	h0203	ellu-v1d-26837	D779A	hellu-v1d-142398	NULL
impingo	V3		VmH	i0547	imping-v3r-28468	D7DB2	imping-v3r-175450	impinx-v7s-175451
implecto	V3		VmH	i0564	implect-v3r-28489	D7DC2	implect-v3r-142489	implectur-n6p2-145580
impleo	V2		VmG	i0566	impl-v2r-28495	D7DCA	impl-v2r-142495	implet-n41-142496,implet-n6p1-142497,impletur-n6p2-142498,impleu-v7s-142499
impluo	V3		VmH	i0580	implu-v3r-28515	D7DD7	implu-v3r-142502	implut-n41-142503,implutur-n6p2-142505
incharaxo	V1		VmF	i0889	incarax-v1r-28930	D7F1E	incharax-v1r-142541	NULL
infundo	V3		VmH	i1671	infund-v3r-30063	D7HDC	infund-v3r-142643	infus-v7s-142647
infundo	V3		VmH	i1671	infund-v3r-30063	D7HDD	infund-v3r-142648	infus-v7s-142652
insum	VA		VmN	i2191	ines-v6sf-30855	D7H02	ines-v6sf-170314,ines-v6sf-174945	insent-n7p3-174963,insens-fe-174965
introduco	V3		VmH	i9922	introduc-v3r-32896	D8356	introduc-v3r-142839	NULL
introduco	V3		VmH	i9922	introduc-v3r-32896	D8357	introduc-v3r-142844	NULL
intromitto	V3		VmH	i9925	intromitt-v3r-32955	D8367	intromitt-v3r-142849	NULL
intueor	V2		VmG	i2620	intu-v2d-31734	D8371	intu-v2d-164782	NULL
maledico	V3		VmH	m9606	maledic-v3r-37644	D8HA3	maledic-v3r-143016	NULL
occurro	V3		VmH	o0420	occurr-v3i-39716	DA23E	occurr-v3r-143333	occurs-n6p1-143335
offendo	V3		VmH	o0562	offend-v3r-39923	DA2B5	offend-v3r-143339	offens-v7s-143343
pedo	V3		VmH	p0725	ped-v3i-42068	DAC3H	ped-v3r-158854	pediu-v7s-158855
periclitor	V1		VmF	p1210	periclit-v1d-42957	DAE61	periclit-v1d-143528	periclitat-n41-143529,periclitat-n6p1-143530,periclitatur-n6p2-143531
periclitor	V1		VmF	p1210	periclit-v1d-42957	DAE62	periclit-v1d-143532	periclitat-n41-143533,periclitat-n6p1-143534,periclitatur-n6p2-143535
postpono	V3		VmH	p2731	postpon-v3r-45413	DB54F	postpon-v3r-143679	posit-n41-143680,posit-n6p1-143681,positur-n6p2-143682,posu-v7s-143683
proficio	V5		VmM	p3763	profic-v5i-47253	DB94B	profic-v5r-143761	profect-n6p1-143763
recolligo	V3		VmH	r1021	recollig-v3r-51064	DC026	recollig-v3r-144017	rect-n41-144018,rect-n6p1-144019,rectur-n6p2-144020,reg-v7s-144021
recolligo	V3		VmH	r1021	recollig-v3r-51064	DC027	recollig-v3r-144022	rect-n41-144023,rect-n6p1-144024,rectur-n6p2-144025,reg-v7s-144026
recolligo	V3		VmH	r1021	recollig-v3r-51064	DC028	recollig-v3r-144027	rect-n41-144028,rect-n6p1-144029,rectur-n6p2-144030,reg-v7s-144031
recumbo	V3		VmH	r1058	recumb-v3i-51159	DC09A	recumb-v3r-144057	recubit-n41-144058,recubit-n6p1-144059,recubitur-n6p2-144060
redimo	V3		VmH	r1087	redim-v3r-51252	DC0G6	redim-v3r-144105	rempt-n41-144106,rempt-n6p1-144107,remptur-n6p2-144108,rem-v7s-144109
redimo	V3		VmH	r1087	redim-v3r-51252	DC0G7	redim-v3r-144110	rempt-n41-144111,rempt-n6p1-144112,remptur-n6p2-144113,rem-v7s-144114
resculpo	V3		VmH	r1326	resculp-v3r-51826	DC478	resculp-v3r-144355	resculpt-n41-144356,resculpt-n6p1-144357,resculptur-n6p2-144358,resculps-v7s-144359
retransmitto	V3		VmH	r1402	retransmitt-v3r-52067	DC5B4	retransmitt-v3r-144474	retransmiss-n41-144475,retransmiss-n6p1-144476,retransmissur-n6p2-144477,retransmis-v7s-144478
reuoluo	V3		VmH	r1449	reuolu-v3r-52210	DC667	reuolu-v3r-144523	ruolut-n41-144524,ruolut-n6p1-144525,ruolutur-n6p2-144526,ruolu-v7s-144527
reuoluo	V3		VmH	r1449	reuolu-v3r-52210	DC668	reuolu-v3r-144528	ruolut-n41-144529,ruolut-n6p1-144530,ruolutur-n6p2-144531,ruolu-v7s-144532
roncho	V1		VmF	r1473	ronc-v1i-52260	DC843	ronch-v1r-124576	NULL
ruo	V3		VmH	r1499	ru-v3r-52304	DC973	ru-v3r-144575	rutur-n6p2-144578
sapio	V5		VmM	s0339	sap-v5r-53005	DCD33	sap-v5r-154709	sapu-v7s-154710
sapio	V5		VmM	s0339	sap-v5r-53005	DCD34	sap-v5r-175541	NULL
satisfacio	V5		VmM	s0433	satisfac-v5i-53156	DCDH6	satisfac-v5r-144627	NULL
sido	V3		VmH	s9912	sid-v3i-58814	DD4D7	sid-v3r-144745	sess-n41-144746,sess-n6p1-144747,sessur-n6p2-144748,sess-v7s-144749
sisto	V3		VmH	s1791	sist-v3r-55100	DD61E	sist-v3r-144776	sistat-n41-144777,sistat-n6p1-144778,sistatur-n6p2-144779,sistet-v7s-144780
subsisto	V3		VmH	s3133	subsist-v3r-57115	DDF5B	subsist-v3r-144962	subsistit-v7s-144963
sufficio	V5		VmM	s3351	suffic-v5r-57544	DDG24	suffic-v5r-144997	suffact-n41-144998,suffact-n6p1-144999,suffactur-n6p2-145000
suffulcio	V4		VmL	s3389	suffulc-v4r-57604	DDG4F	suffulc-v4r-145008	suffuls-n41-145009,suffuls-n6p1-145010,suffulsur-n6p2-145011
sum	VA		VaN	s3436	es-v6sf-57680	D5DAA	es-v6sf-154713	NULL
supersum	VA		VmN	s3704	superes-v6sf-58231	DDH24	superes-v6sf-174966,superes-v6sf-170622	supersent-n7p3-174984,supersens-fe-174986
sustineo	V2		VmG	s3878	sustin-v2r-58526	DE08B	sustin-v2r-145118	sustent-n41-145119,sustent-n6p1-145120,sustentur-n6p2-145121,sustenu-v7s-145122
sustineo	V2		VmG	s3878	sustin-v2r-58526	DE08C	sustin-v2r-145123	sustent-n41-145124,sustent-n6p1-145125,sustentur-n6p2-145126,sustenu-v7s-145127
transpungo	V3		VmH	t1087	transpung-v3r-60550	DF4EB	transpung-v3r-180156	transpunct-n41-180153,transpunctur-n6p2-180155,transpunx-v7s-180157
transumo	V3		VmH	t1113	transum-v3r-60591	DF4GA	transum-v3r-180209	transumpt-n41-180206,transumpt-n6p1-180207,transumptur-n6p2-180208,transumps-v7s-180210,transum-v7s-180211
ualedico	V3		VmH	u0047	ualedic-v3r-61577	DE1B9	ualedic-v3r-145155	NULL
uenio	V4		VmL	u0300	uen-v4i-61967	DE3EG	uen-v4r-145195	uent-n6p1-145197
uerro	V3		VmH	u0417	uerr-v3r-62134	DE4D4	uerr-v3r-145214	uers-n6p1-145216
uerro	V3		VmH	u0417	uerr-v3r-62134	DE4D5	uerr-v3r-145219	uers-n6p1-145221
uigeo	V2		VmG	u0636	uigesc-v3i-62539,uig-v2i-62538	DE67F	uig-v2r-145262	uigit-n41-145263,uigit-n6p1-145264,uigitur-n6p2-145265
