c{+h+}a	170
c[-h-]i	42
r[-a-]e	33
c{+h+}e	30
c[-h-]o	27
[-a-]e	27
t{+h+}e	18
t{+h+}a	17
c[-h-]u	16
c[-a-]e	16
i[-c-]{+t+}i	13
t[-h-]o	12
a[-i-]{+y+}s	12
p{+h+}a	11
l[-a-]e	11
t[-h-]i	10
c{+h+}i	10
c{+h+}o	9
a[-t-]{+c+}i	9
a[-i-]{+y+}r	9
t[-h-]u	7
c{+h+}u	7
c[-h-]r	7
a[-i-]{+y+}n	7
u[-a-]e	6
t[-h-]e	6
p[-h-]u	6
p[-h-]i	6
h{+a+}e	6
h[-a-]e	6
e[-i-]{+y+}a	6
c[-h-]a	6
p[-i-]{+y+}r	5
p[-a-]e	5
l[-i-]{+y+}p	5
[-i-]{+y+}d	5
e[-i-]{+y+}t	5
e[-i-]{+y+}r	5
d[-a-]e	5
a[-i-]{+y+}t	5
t[-y-]{+i+}r	4
t{+h+}i	4
r[-h-]o	4
m[-a-]e	4
i[-t-]{+c+}i	4
e[-i-]{+y+}s	4
c[-i-]{+y+}r	4
a[-i-]{+y+}d	4
u[-i-]{+y+}a	3
t[-h-]r	3
t[-h-]a	3
r{+h+}e	3
r{+h+}a	3
l[-i-]{+y+}t	3
h[-y-]{+i+}m	3
[-h-]u	3
f[-i-]{+y+}r	3
c[-y-]{+i+}c	3
c[-h-]l	3
c[-h-]e	3
c[-a-]{+h+}e	3
a[-i-]{+y+}u	3
x{+s+}c	2
u[-t-]{+c+}i	2
u[-i-]{+y+}d	2
u{+a+}e	2
t[-i-]{+y+}r	2
t[-i-]{+y+}m	2
t{+h+}r	2
t{+h+}o	2
t[-a-]e	2
s[-y-]{+i+}n	2
s[-y-]{+i+}m	2
s[-y-]{+i+}l	2
[-s-]{+x+}c	2
s[-a-]e	2
r[-y-]{+i+}l	2
r{+r+}e	2
r[-i-]{+y+}m	2
p[-y-]{+i+}r	2
p[-i-]{+y+}c	2
p[-h-]o	2
p[-h-]a	2
[-o-]{+u+}r	2
o[-i-]{+y+}s	2
o[-i-]{+y+}o	2
o[-i-]{+y+}l	2
m[-y-]{+i+}g	2
l[-u-]{+y+}t	2
l[-i-]{+y+}a	2
l[-e-]f	2
[-i-]{+y+}s	2
[-i-]{+y+}n	2
[-i-]{+y+}m	2
[-i-]{+y+}c	2
h[-y-]{+i+}d	2
{+h+}a	2
g[-y-]{+i+}r	2
g[-y-]{+i+}p	2
g[-y-]{+e+}n	2
g[-i-]{+y+}l	2
f[-a-]e	2
e[-i-]{+y+}g	2
e[-i-]{+y+}d	2
d[-y-]{+i+}s	2
d[-y-]{+i+}l	2
d[-i-]{+y+}a	2
c[-i-]{+y+}s	2
c[-i-]{+y+}p	2
c[-i-]{+y+}m	2
c[-i-]{+u+}l	2
c{+h+}t	2
c{+h+}r	2
c[-hi-]{+y+}r	2
[-c-]{+g+}r	2
c[-e-]{+i+}u	2
a[-i-]{+y+}l	2
a[-i-]{+y+}g	2
{+a+}e	2
a[-d-]{+p+}p	2
a[-c-]{+t+}i	2
a[-b-]{+p+}s	2
z[-y-]{+i+}m	1
z[-i-]{+u+}l	1
[-y-]{+i+}s	1
[-y-]{+i+}p	1
x[-y-]{+i+}c	1
x[-y-]{+i+}b	1
x{+s+}p	1
x{+s+}o	1
x{+s+}i	1
x[-s-]i	1
x[-s-]c	1
u[-tt-]{+l+}i	1
u[-r-]{+s+}	1
u[-i-]{+y+}t	1
u[-i-]{+y+}s	1
u[-f-]{+b+}f	1
u[-c-]{+t+}i	1
u[-b-]{+m+}m	1
t[-y-]{+i+}m	1
t[-t-]{+h+}i	1
t[-i-]{+y+}l	1
t[-i-]{+y+}c	1
t[-i-]{+y+}b	1
t[-hy-]{+i+}p	1
t[-h-]y	1
t[-h-]w	1
t{+h+}u	1
t[-h-]s	1
t[-h-]l	1
t[-hi-]{+y+}u	1
t[-hi-]{+y+}r	1
t[-hi-]{+y+}m	1
t[-e-]{+y+}g	1
t[-e-]{+i+}g	1
t[-a-]{+e+}i	1
t{+a+}e	1
s[-t-]{+s+}i	1
s[-s-]{+t+}i	1
s{+s+}i	1
s[-i-]{+y+}x	1
s[-i-]{+y+}t	1
s[-i-]{+y+}r	1
s[-i-]{+y+}m	1
s[-i-]{+y+}l	1
s[-i-]{+y+}c	1
s[-c-]{+t+}i	1
r[-y-]{+i+}z	1
r[-y-]{+i+}p	1
r[-s-]{+t+}i	1
r[-i-]{+y+}c	1
r{+h+}i	1
r[-h-]e	1
r[-c-]{+s+}i	1
r[-a-]{+h+}e	1
[-r-]a	1
p[-y-]{+i+}l	1
p[-t-]{+c+}i	1
p[-p-]{+h+}a	1
p[-o-]{+u+}s	1
p[-i-]{+y+}t	1
p[-i-]{+y+}s	1
p[-i-]{+y+}m	1
p[-i-]{+y+}f	1
p[-i-]{+y+}b	1
p[-i-]{+u+}l	1
p[-h-]l	1
p{+h+}i	1
p{+h+}e	1
p[-ha-]e	1
p[-e-]r	1
p[-a-]{+h+}e	1
[-o-]{+rre+}	1
o[-r-]	1
o[-m-]{+n+}b	1
o[-i-]{+y+}u	1
o[-i-]{+y+}p	1
o[-i-]{+y+}a	1
o[-c-]{+t+}i	1
o[-b-]{+p+}s	1
o[-a-]e	1
n[-s-]{+t+}i	1
n[-s-]{+c+}i	1
n{+n+}i	1
n{+n+}e	1
n[-c-]{+t+}i	1
n[-a-]e	1
m[-y-]{+i+}x	1
m[-y-]{+i+}d	1
m[-o-]{+u+}s	1
m[-i-]{+u+}l	1
m[-e-]{+i+}t	1
m[-e-]{+i+}l	1
m[-a-]{+o+}e	1
m[-a-]{+e+}r	1
m{+a+}e	1
l[-y-]{+i+}s	1
l[-y-]{+i+}r	1
l[-y-]{+i+}p	1
l[-y-]{+i+}c	1
l[-li-]o	1
l[-i-]{+y+}m	1
l[-i-]{+y+}g	1
l[-i-]{+y+}f	1
l[-i-]{+y+}d	1
l[-i-]{+y+}b	1
[-li-]o	1
l[-i-]c{+h+}a	1
l[-e-]{+o+}i	1
l[-ei-]{+oy+}a	1
l{+a+}e	1
[-i-]{+y+}u	1
[-i-]{+y+}b	1
i{+n+}g	1
i[-m-]{+n+}p	1
i{+m+}b	1
i[-l-]{+n+}l	1
i[-g-]n	1
i[-di-]{+z+}a	1
i[-ces-]{+x+}	1
i[-b-]{+u+}e	1
i[-a-]e	1
[-hy-]{+i+}s	1
{+h+}w	1
{+h+}o	1
h[-i-]{+y+}u	1
h[-i-]{+y+}s	1
h[-i-]{+y+}r	1
h[-i-]{+y+}e	1
h[-i-]{+y+}b	1
h[-ib-]{+yu+}e	1
g[-y-]{+i+}m	1
g[-i-]{+y+}r	1
g[-i-]{+y+}m	1
g[-i-]{+y+}a	1
[-g-]{+i+}u	1
[-g-]{+aec+}u	1
f[-i-]{+y+}l	1
f[-i-]{+y+}h	1
f[-ih-]{+u+}t	1
e[-r-]{+s+}s	1
e[-i-]{+y+}o	1
e[-i-]{+y+}n	1
e[-i-]{+y+}l	1
[-e-]{+i+}t	1
[-e-]{+i+}l	1
d[-i-]{+y+}s	1
d[-i-]{+y+}o	1
d[-i-]{+y+}n	1
d[-ig-]{+y+}n	1
c[-t-]{+c+}i	1
c[-oe-]{+y+}m	1
c[-i-]{+ym+}b	1
c{+h+}l	1
c[-hi-]{+y+}l	1
c{+hi+}u	1
[-c-]{+g+}a	1
c[-e-]{+y+}n	1
c[-eo-]{+yu+}l	1
c[-eo-]{+iu+}l	1
c[-e-]{+i+}n	1
c[-e-]{+ci+}d	1
[-c-]e{+ci+}a	1
c[-c-]{+h+}e	1
c[-c-]{+h+}a	1
c[-a-]{+hi+}n	1
c{+a+}e	1
c[-ac-]e{+ci+}a	1
b[-y-]{+i+}r	1
b[-u-]{+i+}l	1
b[-i-]{+y+}z	1
b[-i-]{+y+}s	1
b[-i-]{+y+}r	1
b[-i-]{+y+}n	1
b[-i-]{+y+}m	1
b[-i-]{+y+}l	1
b[-a-]e	1
a[-p-]{+d+}p	1
a[-n-]s	1
a{+l+}d	1
a[-i-]{+y+}o	1
a[-i-]{+y+}m	1
a[-i-]{+y+}e	1
a[-i-]{+y+}b	1
a[-i-]{+y+}a	1
a[-i-]{+s+}n	1
[-a-]{+h+}e	1
a[-f-]{+d+}f	1
a[-e-]{+ta+}r	1
a[-e-]{+i+}s	1
a[-d-]{+s+}s	1
a[-d-]s	1
a[-d-]r{+h+}a	1
a[-d-]r	1
a[-d-]{+l+}l	1
a[-d-]{+g+}g	1
a[-c-]t	1
a[-c-]{+r+}c	1
a[-c-]{+g+}a	1
a[-c-]e{+ci+}a	1
a[-c-]{+d+}c	1
